SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2242 W Farlington St,West Covina,CA,91790,615000,4,2.0,669 - West Covina,1486,7590,1962,1,414,,Active,,,http://www.redfin.com/CA/West-Covina/2242-W-Farlington-St-91790/home/7949196,CRMLS,TR20108672,N,Y,34.064632,-117.962632
MLS Listing,,Single Family Residential,3837 Paddy Ln,Baldwin Park,CA,91706,599999,3,2.0,608 - Baldwin Pk/Irwindale,1853,6089,1951,1,324,,Active,,,http://www.redfin.com/CA/Baldwin-Park/3837-Paddy-Ln-91706/home/7991043,CRMLS,MB20088270,N,Y,34.0820494,-117.9633642
MLS Listing,,Single Family Residential,4840 La Sena Ave,Baldwin Park,CA,91706,499900,3,1.0,608 - Baldwin Pk/Irwindale,967,5007,1952,2,517,,Active,,,http://www.redfin.com/CA/Baldwin-Park/4840-La-Sena-Ave-91706/home/7927911,CRMLS,DW20107275,N,Y,34.1009912,-117.9445565
MLS Listing,,Single Family Residential,17066 E Cypress St,Covina,CA,91722,650000,4,3.0,614 - Covina,1958,9500,1995,4,332,55,Active,,,http://www.redfin.com/CA/Covina/E-Cypress-St-91722/home/7930615,CRMLS,CV20100599,N,Y,34.095301,-117.914907
MLS Listing,,Single Family Residential,3643 1/2 Puente Ave,Baldwin Park,CA,91706,570000,3,2.5,608 - Baldwin Pk/Irwindale,1498,4312,1989,4,381,95,Active,,,http://www.redfin.com/CA/Baldwin-Park/3643-1-2-Puente-Ave-91706/home/7938235,CRMLS,CV20105310,N,Y,34.078855,-117.9533886
MLS Listing,,Multi-Family (2-4 Unit),3335 Athol St,Baldwin Park,CA,91706,1400000,7,6.0,608 - Baldwin Pk/Irwindale,5383,13324,1948,4,260,,Active,,,http://www.redfin.com/CA/Baldwin-Park/3335-Athol-St-91706/home/7993749,CRMLS,CV20105341,N,Y,34.072175,-117.990165
MLS Listing,,Single Family Residential,16514 E Nubia St,Covina,CA,91722,515000,3,1.0,614 - Covina,1065,5477,1955,4,484,,Active,,,http://www.redfin.com/CA/Covina/16514-E-Nubia-St-91722/home/7927070,CRMLS,PW20105357,N,Y,34.1034822,-117.9248315
MLS Listing,,Condo/Co-op,717 S Azusa Ave Unit B,Azusa,CA,91702,465000,2,2.0,607 - Azusa,1170,27053,2016,5,397,286,Active,,,http://www.redfin.com/CA/Azusa/717-S-Azusa-Ave-91702/unit-B/home/95081441,CRMLS,EV20104602,N,Y,34.1102831,-117.9095864
MLS Listing,,Single Family Residential,3817 Foster Ave,Baldwin Park,CA,91706,520000,3,2.5,608 - Baldwin Pk/Irwindale,1538,2831,1989,5,338,155,Active,,,http://www.redfin.com/CA/Baldwin-Park/3817-Foster-Ave-91706/home/7990453,CRMLS,WS20103079,N,Y,34.0801771,-117.9815293
MLS Listing,,Single Family Residential,3726 Grace Ave,Baldwin Park,CA,91706,515000,3,2.5,608 - Baldwin Pk/Irwindale,1355,2132,1987,6,380,60,Active,,,http://www.redfin.com/CA/Baldwin-Park/3726-Grace-Ave-91706/home/7989822,CRMLS,IV20104059,N,Y,34.0792585,-117.9777774
MLS Listing,,Single Family Residential,4151 Harlan Ave,Baldwin Park,CA,91706,550000,3,2.0,699 - Not Defined,1060,19648,1959,8,519,,Active,,,http://www.redfin.com/CA/Baldwin-Park/4151-Harlan-Ave-91706/home/7984609,CRMLS,WS20103243,N,Y,34.0871798,-117.9812891
MLS Listing,,Single Family Residential,735 N La Breda Ave,West Covina,CA,91791,732000,4,2.5,669 - West Covina,2361,9335,1962,9,310,,Active,,,http://www.redfin.com/CA/West-Covina/735-La-Breda-Ave-91791/home/7939982,CRMLS,TR20099390,N,Y,34.0840888,-117.9064547
MLS Listing,,Condo/Co-op,1139 W Badillo St Unit E,Covina,CA,91722,394999,3,2.5,699 - Not Defined,1184,90712,1974,9,334,250,Active,,,http://www.redfin.com/CA/Covina/1139-W-Badillo-St-91722/unit-E/home/7936398,CRMLS,CV20101667,N,Y,34.08708,-117.913259
MLS Listing,,Single Family Residential,17003 E Groverdale St,Covina,CA,91722,489999,3,2.0,614 - Covina,1104,5835,1954,10,444,,Active,,,http://www.redfin.com/CA/Covina/17003-E-Groverdale-St-91722/home/7926675,CRMLS,CV20101457,N,Y,34.1029599,-117.9163642
MLS Listing,,Single Family Residential,16626 E Clovermead St,Covina,CA,91722,608000,4,2.5,614 - Covina,1823,6047,1954,10,334,,Active,,,http://www.redfin.com/CA/Covina/16626-E-Clovermead-St-91722/home/7930204,CRMLS,CV20100944,N,Y,34.0947847,-117.9216506
MLS Listing,,Single Family Residential,735 N Hyacinth Ave,West Covina,CA,91791,639000,3,2.0,669 - West Covina,1353,8388,1955,10,472,,Active,,,http://www.redfin.com/CA/West-Covina/735-N-Hyacinth-Ave-91791/home/7939727,CRMLS,AR20099799,N,Y,34.0841878,-117.9152657
